# Sherical harmonic coefficients for the Average Magnetic field and Polar current System (AMPS) model
# Produced Aug 2026
#
# Based on magnetic field measurements from CHAMP (2001-08 to 2010-09) and Swarm (2013-12 to 2026-04).
# Reference: Laundal et al., "Solar wind and seasonal influence on ionospheric currents", Journal of Geophysical Research - Space Physics, doi:10.1029/2018JA025387, 2018
#
# Coefficient unit: nT
# Apex reference height: 110 km
# Earth radius: 6371.2 km
#
# Spherical harmonic degree, order: 65, 3 (for T) and 45, 3 (for V)
# 
# column names:
# n m tor_c_const tor_s_const pol_c_const pol_s_const tor_c_sinca tor_s_sinca pol_c_sinca pol_s_sinca tor_c_cosca tor_s_cosca pol_c_cosca pol_s_cosca tor_c_epsilon tor_s_epsilon pol_c_epsilon pol_s_epsilon tor_c_epsilon_sinca tor_s_epsilon_sinca pol_c_epsilon_sinca pol_s_epsilon_sinca tor_c_epsilon_cosca tor_s_epsilon_cosca pol_c_epsilon_cosca pol_s_epsilon_cosca tor_c_tilt tor_s_tilt pol_c_tilt pol_s_tilt tor_c_tilt_sinca tor_s_tilt_sinca pol_c_tilt_sinca pol_s_tilt_sinca tor_c_tilt_cosca tor_s_tilt_cosca pol_c_tilt_cosca pol_s_tilt_cosca tor_c_tilt_epsilon tor_s_tilt_epsilon pol_c_tilt_epsilon pol_s_tilt_epsilon tor_c_tilt_epsilon_sinca tor_s_tilt_epsilon_sinca pol_c_tilt_epsilon_sinca pol_s_tilt_epsilon_sinca tor_c_tilt_epsilon_cosca tor_s_tilt_epsilon_cosca pol_c_tilt_epsilon_cosca pol_s_tilt_epsilon_cosca tor_c_tau tor_s_tau pol_c_tau pol_s_tau tor_c_tau_sinca tor_s_tau_sinca pol_c_tau_sinca pol_s_tau_sinca tor_c_tau_cosca tor_s_tau_cosca pol_c_tau_cosca pol_s_tau_cosca tor_c_tilt_tau tor_s_tilt_tau pol_c_tilt_tau pol_s_tilt_tau tor_c_tilt_tau_sinca tor_s_tilt_tau_sinca pol_c_tilt_tau_sinca pol_s_tilt_tau_sinca tor_c_tilt_tau_cosca tor_s_tilt_tau_cosca pol_c_tilt_tau_cosca pol_s_tilt_tau_cosca tor_c_f107 tor_s_f107 pol_c_f107 pol_s_f107
1  0  0.0519316        NaN  0.1692718        NaN -0.0083947        NaN -0.0059753        NaN -0.0556513        NaN  0.0465110        NaN  0.0549514        NaN  0.0688242        NaN -0.0379376        NaN -0.0026589        NaN  0.0407294        NaN -0.0028202        NaN  0.1682863        NaN -0.0026992        NaN -0.0013622        NaN  0.0016498        NaN  0.0026771        NaN -0.0012352        NaN  0.0032670        NaN  0.0001615        NaN  0.0071476        NaN -0.0004006        NaN  0.0039410        NaN  0.0003621        NaN  0.0622171        NaN -0.0247698        NaN  0.0324157        NaN  0.0097693        NaN -0.0088030        NaN  0.0145771        NaN  0.0145066        NaN  0.0005492        NaN -0.0012690        NaN  0.0002765        NaN -0.0028613        NaN -0.0004199        NaN  0.0133301        NaN  0.0199353        NaN
1  1  0.9627562 -0.0430813 -0.2906995  0.2768472  0.0047534 -0.0219144 -0.0366757  0.0337041 -1.5491580  1.1781627  0.0338392  0.0509673 -1.1028820  0.5515019  0.0202278 -0.0007689 -0.0352098  0.0255765  0.0406008 -0.0184643  0.2431279 -0.3959524  0.0149055 -0.0221005  0.0072036  0.0013180 -0.0110964  0.0000484 -0.0044240  0.0183591 -0.0012138 -0.0013823 -0.0061778  0.0072037 -0.0025732 -0.0016666 -0.0070737  0.0003263 -0.0014270  0.0013611  0.0066317 -0.0072621  0.0000944 -0.0000401 -0.0023404 -0.0041891  0.0005751  0.0017582 -0.0664607  0.0373173 -0.0361233  0.0092785  0.0029190  0.0220250  0.0225273 -0.0161858  0.0305141 -0.0528558  0.0304733 -0.0064179 -0.0002054  0.0009001 -0.0012039 -0.0012878  0.0040626 -0.0006044  0.0002257 -0.0000250 -0.0011081 -0.0014519  0.0004182  0.0018383 -0.0063364  0.0023898 -0.0004485  0.0009179
2  0 -0.4003418        NaN -0.3796021        NaN  0.0159330        NaN -0.0012308        NaN  0.2065361        NaN  0.0392397        NaN  0.1383009        NaN -0.0134536        NaN -0.0059660        NaN  0.0052943        NaN -0.0796490        NaN  0.0022973        NaN -0.0021903        NaN  0.0447875        NaN  0.0080999        NaN  0.0004066        NaN  0.0019958        NaN  0.0037082        NaN  0.0003523        NaN  0.0039285        NaN -0.0069182        NaN -0.0003021        NaN  0.0008875        NaN -0.0003746        NaN  0.0445811        NaN -0.0109367        NaN  0.0051062        NaN  0.0143524        NaN -0.0458610        NaN  0.0037949        NaN -0.0012699        NaN  0.0011308        NaN -0.0024343        NaN  0.0002437        NaN  0.0020685        NaN  0.0001337        NaN -0.0029835        NaN -0.0006714        NaN
2  1 -0.4508740 -0.3655371 -0.5345028  0.0262379 -0.1692168 -0.2766681  0.0042242 -0.0183265 -0.0345505  0.0103258 -0.1867965  0.2593257  0.0138474 -0.0061588  0.0102823  0.0773790 -0.3205477  0.0928555  0.0090690  0.0019962  0.0338892 -0.0048769  0.0419372 -0.0668004  0.0106616 -0.0331014 -0.0057666  0.0060149  0.0019887  0.0044588  0.0002678  0.0026819 -0.0002223 -0.0018272  0.0008204  0.0015588 -0.0016797  0.0158547 -0.0007499  0.0012533 -0.0009941 -0.0015311 -0.0004349 -0.0016884 -0.0037319 -0.0042901 -0.0012540 -0.0000618 -0.0336430 -0.0160149 -0.0022477  0.0512717 -0.1553241  0.0724657  0.0028293 -0.0133612  0.0249873  0.0062295  0.0258620 -0.0482072  0.0009317  0.0088887  0.0005894  0.0000753  0.0002040 -0.0004180  0.0007678 -0.0000652  0.0000151 -0.0024621 -0.0007996  0.0001930  0.0013004 -0.0000019 -0.0114140 -0.0069636
2  2 -0.1987463  0.2677014  0.1706816 -0.2007976  0.0410954  0.0245334  0.0298734  0.0060582 -0.0240968 -0.2459319 -0.0198130  0.0039545  0.0462004  0.0398089  0.0071905 -0.0074460 -0.0073967 -0.0198332  0.0032614 -0.0007685  0.0181865  0.1515772  0.0021077 -0.0051729  0.0029159  0.0029532  0.0078699 -0.0082015 -0.0032924 -0.0006775 -0.0001374  0.0008100 -0.0038026 -0.0023586  0.0031142  0.0019784  0.0016492 -0.0046865  0.0011000 -0.0012166  0.0028667  0.0014964 -0.0001204 -0.0001067  0.0026412 -0.0008767 -0.0004033 -0.0007546 -0.0126794 -0.0471545  0.0066282  0.0083363  0.0045508  0.0033614 -0.0072227  0.0086802  0.0237348  0.0677573 -0.0048623 -0.0128843 -0.0016488  0.0029263  0.0003231 -0.0000209 -0.0008240  0.0006042 -0.0002666  0.0002396  0.0006543 -0.0029236 -0.0000425 -0.0010090  0.0065460 -0.0032391  0.0005301 -0.0015175
3  0 -0.0322244        NaN -0.5208726        NaN  0.0424525        NaN -0.0055702        NaN -0.0257349        NaN -0.1035578        NaN -0.0158221        NaN  0.0355014        NaN -0.1289505        NaN  0.0046778        NaN -0.0043316        NaN  0.0871556        NaN -0.0199955        NaN -0.0008236        NaN  0.0037613        NaN -0.0016895        NaN -0.0043107        NaN  0.0013533        NaN  0.0001587        NaN -0.0010164        NaN -0.0044409        NaN  0.0028262        NaN -0.0028375        NaN -0.0005264        NaN -0.0037015        NaN  0.0026391        NaN -0.0762749        NaN  0.0023288        NaN -0.0121602        NaN  0.0178032        NaN -0.0025999        NaN  0.0005540        NaN  0.0010265        NaN  0.0024132        NaN -0.0009037        NaN -0.0010548        NaN -0.0090752        NaN -0.0054111        NaN
3  1  0.6105948 -0.0647024  0.0862409 -0.0052643  0.0010240 -0.0353608 -0.0687433  0.0496515 -1.0599805  1.0116607  0.0183380  0.0068424 -0.7222147  0.6292741  0.0335910  0.0131084 -0.0136316  0.0215141  0.0364630  0.0200744  0.2183273 -0.3496968  0.0098599  0.0099691  0.0030835  0.0016645 -0.0208936 -0.0171423 -0.0058919  0.0123172  0.0010522 -0.0001322 -0.0052680  0.0002457 -0.0043544 -0.0032913  0.0000203 -0.0013756  0.0007945 -0.0020283  0.0043255 -0.0049926  0.0000153  0.0001759  0.0002198  0.0000625  0.0007750  0.0018034 -0.0733769  0.0512273 -0.0104323 -0.0220000 -0.0053368  0.0219480  0.0010378  0.0367242  0.0682211 -0.0733687  0.0144430  0.0162138  0.0002550  0.0002940  0.0003281 -0.0007993 -0.0009176  0.0000841 -0.0002437 -0.0002749 -0.0010022 -0.0006910  0.0001899  0.0005885  0.0040648  0.0006141  0.0009851 -0.0002962
3  2  0.3170033  0.0178810  0.7661219 -0.0328311  0.0495581 -0.0146272  0.0055533  0.0045208 -0.0031003 -0.0057866 -0.0083247  0.0712633  0.0043516  0.0140077 -0.0237746 -0.0008068 -0.0130948  0.0101949 -0.0023553  0.0001784 -0.0065806  0.0144698 -0.0174758 -0.0182199  0.0064188  0.0099340  0.0046076 -0.0087888 -0.0016039  0.0005717 -0.0000142 -0.0001549  0.0025419 -0.0043473  0.0000072 -0.0000771  0.0026658 -0.0016145  0.0003608  0.0002659  0.0001720  0.0002250 -0.0000087 -0.0002894 -0.0014921  0.0006721  0.0005278  0.0001050  0.0029891 -0.0099687 -0.0012493 -0.0033522 -0.0224907  0.0069615  0.0004052  0.0009034  0.0013427  0.0103722 -0.0087754 -0.0091453  0.0009517  0.0007330 -0.0004556  0.0004520 -0.0000422  0.0003633 -0.0003159  0.0000057 -0.0013955 -0.0010434  0.0002896 -0.0002524 -0.0020002  0.0011826  0.0066729  0.0040568
3  3 -0.0053323  0.0277503 -0.0128169  0.0824743 -0.0194640  0.0122717 -0.0067665 -0.0124371  0.0145702 -0.0049885  0.0306120 -0.0554830 -0.0011585 -0.0331931  0.0021178 -0.0172918 -0.0001455 -0.0153354 -0.0011769  0.0075624 -0.0203760 -0.0193096 -0.0047178 -0.0133534 -0.0071055 -0.0020771 -0.0030724  0.0142691  0.0021847 -0.0000904  0.0007497  0.0002874  0.0048946  0.0048575 -0.0003157 -0.0015646 -0.0015108  0.0006774 -0.0003785 -0.0001071 -0.0005908 -0.0003960 -0.0000306 -0.0002333 -0.0041603 -0.0041571 -0.0003138  0.0002072  0.0222774  0.0118506  0.0077709  0.0072879  0.0010822  0.0018069  0.0017528 -0.0021420 -0.0130496 -0.0165899 -0.0072945 -0.0066947  0.0022001  0.0002145  0.0002787 -0.0000589  0.0020521 -0.0002890 -0.0000511 -0.0000293 -0.0014612  0.0000000 -0.0003684  0.0003186 -0.0010589 -0.0010726 -0.0003292  0.0010715
4  0 -0.3299328        NaN -0.0102081        NaN -0.0144301        NaN  0.0022427        NaN  0.2299722        NaN -0.0263522        NaN  0.2418553        NaN  0.0159501        NaN  0.0136063        NaN  0.0381754        NaN -0.0663197        NaN  0.0371853        NaN  0.0020367        NaN -0.0058140        NaN  0.0069067        NaN  0.0006380        NaN  0.0019987        NaN  0.0024038        NaN  0.0018306        NaN  0.0060413        NaN -0.0081722        NaN -0.0001038        NaN -0.0009905        NaN  0.0006778        NaN  0.0514644        NaN -0.0188426        NaN  0.0004478        NaN  0.0274597        NaN -0.0268407        NaN  0.0232934        NaN -0.0003792        NaN  0.0005393        NaN -0.0064552        NaN  0.0000482        NaN -0.0014960        NaN  0.0005848        NaN  0.0007182        NaN  0.0025834        NaN
